City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Morondava,MG,-20.2833,44.2833,19.7,81,0,4.26,clear sky
80,Pacific Grove,US,36.6177,-121.9166,33.37,77,1,2.24,clear sky
81,Pevek,RU,69.7008,170.3133,3.84,68,7,1.37,clear sky
82,Abonnema,NG,4.7084,6.7931,25.6,91,95,2.64,overcast clouds
83,Kavieng,PG,-2.5744,150.7967,27.97,79,100,4.63,moderate rain
84,Oistins,BB,13.0667,-59.5333,27.05,65,40,9.77,scattered clouds
85,Kapaa,US,22.0752,-159.319,29.18,61,20,3.87,few clouds
86,Tasiilaq,GL,65.6145,-37.6368,4.09,94,100,3.65,overcast clouds
87,Tucurui,BR,-3.7661,-49.6725,27.19,66,75,1.33,broken clouds
88,Sibolga,ID,1.7427,98.7792,24.08,89,73,1.45,light rain
89,Vardo,NO,70.3705,31.1107,5.81,91,100,7.96,overcast clouds
90,Pringsewu,ID,-5.3582,104.9744,22.58,97,74,1.38,broken clouds
91,Palmares Do Sul,BR,-30.2578,-50.5097,10.46,52,5,1.48,clear sky
92,Shar,KZ,49.5886,81.0453,11.27,70,32,1.75,scattered clouds
93,Phan Thiet,VN,10.9333,108.1,26.53,85,11,3.13,few clouds
94,Anadia,BR,-9.6844,-36.3042,22.85,96,49,1.51,scattered clouds
95,Mogok,MM,22.9167,96.5,18.69,99,65,1.1,broken clouds
96,Gilgit,PK,35.9221,74.3087,21.16,56,100,1.16,overcast clouds
97,Xuanhua,CN,40.6103,115.0447,16.3,52,100,3.47,overcast clouds
98,Cidreira,BR,-30.1811,-50.2056,10.57,56,23,3.09,few clouds
99,Qaanaaq,GL,77.484,-69.3632,-0.55,95,100,0.71,overcast clouds
100,Richards Bay,ZA,-28.783,32.0377,17.66,69,99,1.7,light rain
101,Kupang,ID,-10.1667,123.5833,23.32,83,20,2.57,few clouds
102,Yellowknife,CA,62.456,-114.3525,10.72,61,75,0.89,broken clouds
103,Impfondo,CG,1.6381,18.0667,23.78,80,69,0.35,light rain
104,Gushikawa,JP,26.3544,127.8686,24.0,90,75,9.5,broken clouds
105,Castro,BR,-24.7911,-50.0119,13.46,99,100,0.94,overcast clouds
106,Honningsvag,NO,70.9821,25.9704,5.61,94,100,11.32,overcast clouds
107,Manokwari,ID,-0.8667,134.0833,27.65,77,100,3.29,overcast clouds
108,Pangnirtung,CA,66.1451,-65.7125,1.35,99,100,2.18,light rain
109,Tuktoyaktuk,CA,69.4541,-133.0374,8.0,46,20,3.6,few clouds
